device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,
201324,2023-02-25 00:10:36,2023-02-25,00:10:36,GPS,5,3849,50,0,1.2,-29.238844000000000,-71.523972000000001,-29,3,241,25,-70,-529,-118,247,61,967,
201324,2023-02-25 00:22:44,2023-02-25,00:22:44,GPS,6,3849,50,0,1.2,-29.238861000000000,-71.523949000000002,-26,0,209,26,-15,-452,-64,88,-432,899,
201324,2023-02-25 00:34:36,2023-02-25,00:34:36,GPS,5,3849,50,0,1.3,-29.238852999999999,-71.523796000000004,-31,0,179,26,-24,-514,-69,183,-319,941,
201324,2023-02-25 00:46:45,2023-02-25,00:46:45,GPS,5,3849,50,0,1.4,-29.238710000000001,-71.523833999999994,-23,0,160,27,-86,-457,-144,213,38,985,
201324,2023-02-25 00:58:36,2023-02-25,00:58:36,GPS,5,3849,50,0,1.4,-29.238682000000001,-71.523880000000005,-27,0,326,27,11,-513,-67,106,-488,884,
201324,2023-02-25 01:10:36,2023-02-25,01:10:36,GPS,5,3849,50,0,1.3,-29.238703000000001,-71.523949000000002,-31,0,353,27,-108,-424,-167,343,156,949,
201324,2023-02-25 01:22:37,2023-02-25,01:22:37,GPS,5,3849,50,0,1.3,-29.238755999999999,-71.523894999999996,-9,0,65,28,-16,-471,-66,287,-335,917,
201324,2023-02-25 01:34:45,2023-02-25,01:34:45,GPS,6,3849,50,0,1.3,-29.238845999999999,-71.523810999999995,4,0,87,28,-43,-446,-81,260,-284,932,
201324,2023-02-25 01:46:28,2023-02-25,01:46:28,GPS,7,3846,49,0,1.1,-29.238890000000001,-71.523796000000004,-41,0,108,27,-53,-389,-93,356,-271,907,
201324,2023-02-25 01:58:37,2023-02-25,01:58:37,GPS,6,3846,49,0,1.2,-29.238707999999999,-71.523917999999995,9,0,20,28,-57,-376,-113,388,-208,908,
201324,2023-02-25 02:10:26,2023-02-25,02:10:26,GPS,7,3846,49,0,1.2,-29.238823000000000,-71.523880000000005,17,0,314,28,-46,-426,-79,294,-292,931,
201324,2023-02-25 02:22:29,2023-02-25,02:22:29,GPS,6,3846,49,0,1.2,-29.238785000000000,-71.523880000000005,7,0,55,27,43,-293,-117,74,-376,935,
201324,2023-02-25 02:34:45,2023-02-25,02:34:45,GPS,6,3844,48,0,1.2,-29.238758000000001,-71.523894999999996,5,0,247,28,72,-600,-83,283,-311,920,
201324,2023-02-25 02:46:27,2023-02-25,02:46:27,GPS,6,3844,48,0,1.1,-29.238734999999998,-71.523871999999997,22,0,162,28,-48,-413,-78,337,-260,921,
201324,2023-02-25 02:58:28,2023-02-25,02:58:28,GPS,6,3846,49,0,1.0,-29.238453000000000,-71.521682999999996,449,0,17,30,-29,-415,-94,132,-301,952,
201324,2023-02-25 03:10:36,2023-02-25,03:10:36,GPS,6,3846,49,0,1.0,-29.238717999999999,-71.523887999999999,18,0,201,30,-64,-379,-170,279,20,975,
201324,2023-02-25 03:22:28,2023-02-25,03:22:28,GPS,6,3846,49,0,1.0,-29.238464000000000,-71.522094999999993,328,0,126,30,-11,-355,-118,211,-286,940,
201324,2023-02-25 03:34:44,2023-02-25,03:34:44,GPS,5,3844,48,0,1.4,-29.238688000000000,-71.524033000000003,-130,0,359,27,-32,-479,-92,215,-238,954,
201324,2023-02-25 03:46:38,2023-02-25,03:46:38,GPS,5,3841,47,0,1.3,-29.238810999999998,-71.523917999999995,-160,0,104,28,-33,-438,-75,362,-283,906,
201324,2023-02-25 03:58:38,2023-02-25,03:58:38,GPS,5,3841,47,0,1.2,-29.238764000000000,-71.523719999999997,-212,0,347,28,-22,-384,-81,418,-359,868,
201324,2023-02-25 04:10:43,2023-02-25,04:10:43,GPS,11,3841,47,0,0.7,-29.238786999999999,-71.523833999999994,1,0,277,29,-24,-483,-66,354,-264,913,
201324,2023-02-25 04:22:26,2023-02-25,04:22:26,GPS,11,3841,47,0,0.7,-29.238783000000002,-71.523857000000007,7,0,255,29,-22,-475,-86,371,-271,906,
201324,2023-02-25 04:34:27,2023-02-25,04:34:27,GPS,9,3844,48,0,0.8,-29.238714000000002,-71.523857000000007,9,0,297,29,58,-541,-58,368,-443,824,
201324,2023-02-25 04:46:45,2023-02-25,04:46:45,GPS,9,3841,47,0,0.8,-29.238748999999999,-71.523842000000002,5,0,245,29,26,-505,-60,-200,-1023,208,
201324,2023-02-25 04:58:26,2023-02-25,04:58:26,GPS,9,3841,47,0,0.8,-29.238813000000000,-71.523926000000003,0,0,256,29,-11,-507,-80,418,-222,901,
201324,2023-02-25 05:10:31,2023-02-25,05:10:31,GPS,9,3841,47,0,0.8,-29.238712000000000,-71.523750000000007,-6,0,101,29,-12,-470,-71,232,-348,915,
201324,2023-02-25 05:22:30,2023-02-25,05:22:30,GPS,8,3841,47,0,0.9,-29.238185999999999,-71.523375999999999,293,0,174,30,-6,-327,-113,149,-285,954,
201324,2023-02-25 05:34:45,2023-02-25,05:34:45,GPS,8,3841,47,0,0.9,-29.238741000000001,-71.523803999999998,0,0,19,31,-4,-319,-121,161,-238,963,
201324,2023-02-25 05:46:26,2023-02-25,05:46:26,GPS,7,3841,47,0,0.9,-29.238645999999999,-71.523758000000001,-5,1,190,30,20,-312,-132,198,-342,931,
201324,2023-02-25 05:58:29,2023-02-25,05:58:29,GPS,9,3841,47,0,0.8,-29.238676000000002,-71.523696999999999,-8,1,327,31,13,-317,-127,158,-280,961,
