Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
2018-05,DEU,trawlers,141,13244.83
2018-05,GBR,trawlers,7,328.98
2018-04,DNK,trawlers,26,747.44
2018-04,NLD,trawlers,104,14736.28
2018-04,SWE,trawlers,1,16.45
2018-04,DEU,trawlers,153,14628.62
2018-04,GBR,other_seines,1,52.70
2018-04,NLD,other_seines,2,33.76
2018-04,BEL,other_seines,1,11.56
2018-04,BEL,trawlers,9,868.48
2018-04,GBR,trawlers,8,74.00
2018-04,DNK,inconclusive,1,53.11
2018-04,DEU,dredge_fishing,8,147.56
2018-04,DEU,fishing,19,730.62
2018-04,DEU,set_gillnets,16,1000.77
2018-04,DEU,fixed_gear,3,179.67
2018-04,NLD,fishing,1,56.51
2018-04,POL,trawlers,26,1321.36
2018-04,DNK,fishing,2,44.10
2018-04,DNK,pole_and_line,1,48.43
2018-04,DEU,pole_and_line,2,19.29
2018-04,DNK,set_longlines,1,3.80
2018-05,NLD,trawlers,106,14151.02
2018-05,DNK,trawlers,27,340.99
2018-05,SWE,trawlers,2,13.26
2018-05,BEL,other_seines,1,6.89
2018-05,GBR,other_seines,1,2.75
2018-05,BEL,trawlers,8,963.26
2018-05,GBR,fixed_gear,1,191.14
2018-05,DEU,dredge_fishing,8,263.24
2018-05,NLD,fishing,2,40.45
2018-05,DEU,fishing,20,605.47
2018-05,GBR,inconclusive,1,41.78
2018-05,DEU,set_gillnets,16,1176.78
2018-05,DEU,fixed_gear,3,172.07
2018-05,NLD,inconclusive,1,0.76
2018-05,DEU,inconclusive,3,555.11
2018-05,POL,trawlers,25,1043.72
2018-05,POL,fishing,2,30.13
2018-05,DNK,pole_and_line,1,6.66
2018-05,DEU,pole_and_line,1,4.91
2018-04,GBR,fixed_gear,1,192.90
2018-04,GBR,fishing,2,107.62
2018-04,DEU,inconclusive,4,331.43
2018-04,PRT,trawlers,1,0.24
2018-04,POL,fishing,2,102.54
2018-05,GBR,fishing,3,469.60
2018-05,NLD,other_seines,2,11.00
2018-05,DNK,set_gillnets,2,3.05
2018-05,DNK,inconclusive,1,9.82
